"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","15","apiAutoTest","test","com.autotest.testcase.unittest.AddUserApiTest","com.autotest.testcase.unittest.AddUserApiTest","adduser","adduser",""
"passed","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","362","apiAutoTest","test","com.autotest.testcase.Integrationtest.UserModuleTest","com.autotest.testcase.Integrationtest.UserModuleTest","userinfo","userinfo","获取用户信息"
"passed","Tue Sep 24 20:33:06 CST 2024","Tue Sep 24 20:33:06 CST 2024","550","apiAutoTest","test","com.autotest.testcase.Integrationtest.UserModuleTest","com.autotest.testcase.Integrationtest.UserModuleTest","login","login","获取token令牌"
"passed","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","22","apiAutoTest","test","com.autotest.testcase.Integrationtest.UserModuleTest","com.autotest.testcase.Integrationtest.UserModuleTest","deleteuser","deleteuser","删除用户"
"passed","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","15","apiAutoTest","test","com.autotest.testcase.unittest.AddUserApiTest","com.autotest.testcase.unittest.AddUserApiTest","login","login","获取token令牌"
"broken","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","16","apiAutoTest","test","com.autotest.testcase.unittest.LoginApiTest","com.autotest.testcase.unittest.LoginApiTest","login","login","获取token令牌"
"passed","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","14","apiAutoTest","test","com.autotest.testcase.unittest.AddUserApiTest","com.autotest.testcase.unittest.AddUserApiTest","adduser","adduser",""
"passed","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","15","apiAutoTest","test","com.autotest.testcase.Integrationtest.UserModuleTest","com.autotest.testcase.Integrationtest.UserModuleTest","upload","upload","文件上传"
"broken","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","16","apiAutoTest","test","com.autotest.testcase.unittest.LoginApiTest","com.autotest.testcase.unittest.LoginApiTest","login","login","获取token令牌"
"passed","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","26","apiAutoTest","test","com.autotest.testcase.unittest.LoginApiTest","com.autotest.testcase.unittest.LoginApiTest","login","login","获取token令牌"
"broken","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","13","apiAutoTest","test","com.autotest.testcase.unittest.AddUserApiTest","com.autotest.testcase.unittest.AddUserApiTest","adduser","adduser",""
"passed","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","16","apiAutoTest","test","com.autotest.testcase.Integrationtest.UserModuleTest","com.autotest.testcase.Integrationtest.UserModuleTest","updateuser","updateuser","更新用户"
"broken","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","11","apiAutoTest","test","com.autotest.testcase.unittest.LoginApiTest","com.autotest.testcase.unittest.LoginApiTest","login","login","获取token令牌"
"broken","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","15","apiAutoTest","test","com.autotest.testcase.unittest.AddUserApiTest","com.autotest.testcase.unittest.AddUserApiTest","adduser","adduser",""
"passed","Tue Sep 24 20:33:06 CST 2024","Tue Sep 24 20:33:07 CST 2024","245","apiAutoTest","test","com.autotest.testcase.Integrationtest.UserModuleTest","com.autotest.testcase.Integrationtest.UserModuleTest","adduser","adduser","新增用户"
"broken","Tue Sep 24 20:33:07 CST 2024","Tue Sep 24 20:33:07 CST 2024","14","apiAutoTest","test","com.autotest.testcase.unittest.AddUserApiTest","com.autotest.testcase.unittest.AddUserApiTest","adduser","adduser",""
